title,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
parmesan,35.64102564102564,77.0,28.666666666666668,5.054545454545455,78.26086956521739,0.0,56.8,0.0,29.11111111111111,0.0,65.61538461538461,2.722222222222222,2.5,3.5333333333333337,7.333333333333332,2.166666666666667,27.538461538461533,0.5,4.764705882352942,1.5,58.333333333333336,0.0,9.0,50.160000000000004,8.095238095238095,38.18181818181819,62.54545454545454,4.444444444444445,3.0869565217391304,0.0,3.829787234042553,2.5636363636363635
parsley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsnip,3.6410256410256405,3.5749999999999997,0.6666666666666667,5.989090909090908,5.695652173913043,12.5,2.58,0.0,1.2222222222222223,13.999999999999998,2.769230769230769,3.111111111111111,0.0,9.000000000000002,0.0,6.666666666666667,3.8461538461538463,4.38125,6.235294117647059,14.000000000000002,0.0,0.0,0.0,5.36,6.666666666666667,2.272727272727273,2.909090909090909,14.888888888888891,0.0,0.0,7.574468085106383,4.8
pasta,2.2948717948717947,0.0,0.0,28.581818181818182,0.0,12.85714285714286,25.0,0.0,0.0,0.0,0.0,17.833333333333336,0.0,0.0,0.0,83.33333333333334,23.384615384615383,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,18.08974358974359,26.450000000000003,0.0,22.618181818181817,13.043478260869565,13.571428571428571,28.22,0.0,8.555555555555555,0.0,9.461538461538462,21.11111111111111,0.0,15.4,0.0,51.16666666666667,24.153846153846153,31.624999999999996,32.235294117647065,34.5,0.0,0.0,0.0,21.6,24.285714285714285,30.09090909090909,13.090909090909092,49.333333333333336,0.0,0.0,15.574468085106382,10.527272727272727
peach,28.46153846153846,22.200000000000003,22.333333333333332,19.38181818181818,14.956521739130435,7.8571428571428585,8.88,0.0,0.0,5.888888888888888,1.6923076923076923,8.88888888888889,0.0,0.0,0.0,0.0,11.615384615384615,11.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,35.0,53.0,5.0,22.03636363636364,1.956521739130435,10.714285714285714,18.18,0.0,0.0,4.0,4.6923076923076925,6.055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut butter,65.84615384615384,51.625,0.0,8.112727272727273,18.521739130434785,17.857142857142858,44.42,0.0,0.0,0.0,3.769230769230769,9.666666666666666,0.0,60.66666666666667,0.0,12.5,14.769230769230768,81.95,25.941176470588236,21.75,0.0,0.0,0.0,26.8,40.0,22.818181818181817,7.454545454545454,46.888888888888886,0.0,0.0,11.872340425531915,11.454545454545455
pear,0.1923076923076923,0.10999999999999999,0.0,5.52,0.13043478260869568,11.071428571428573,0.74,0.0,0.1111111111111111,4.777777777777778,0.6923076923076923,1.0,0.0,0.8,0.0,1.0,1.9999999999999998,1.0125,1.647058823529412,1.7500000000000002,0.0,0.0,0.0,0.88,1.6666666666666667,0.8181818181818181,0.18181818181818182,8.555555555555555,0.0,0.0,2.2127659574468086,0.9272727272727272
pecan,92.3076923076923,30.9,0.0,5.054545454545455,0.0,34.285714285714285,18.34,0.0,0.33333333333333337,1.2222222222222223,5.384615384615385,14.055555555555554,0.0,9.333333333333332,0.0,55.00000000000001,10.0,7.3125,12.352941176470589,5.5,0.0,0.0,17.26,22.16,28.809523809523807,41.18181818181819,6.909090909090909,133.33333333333331,195.6521739130435,0.0,8.72340425531915,7.363636363636364
pepper,0.0,0.0,0.0,24.254545454545458,0.0,118.92857142857143,0.0,0.0,0.0,23.333333333333332,33.61538461538461,160.55555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,15.512820512820513,33.550000000000004,3.3333333333333335,13.418181818181818,10.782608695652174,0.0,5.36,26.8,0.0,0.0,0.9230769230769231,3.7222222222222228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723404255319149,0.0
pine nut,87.65384615384616,24.495,0.0,4.756363636363636,0.08695652173913043,13.214285714285715,27.38,0.0,0.1111111111111111,0.8888888888888888,1.2307692307692308,30.72222222222222,0.0,62.2,0.0,30.333333333333336,17.46153846153846,27.418749999999996,5.529411764705882,8.5,0.0,0.0,0.0,46.0,59.76190476190476,58.63636363636364,1.2727272727272725,147.11111111111111,0.0,0.0,12.702127659574469,10.145454545454545
pineapple,0.0,0.0,0.0,28.581818181818182,0.782608695652174,15.357142857142856,0.0,0.0,0.0,0.0,2.769230769230769,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistachio,59.87179487179487,33.35,0.0,9.709090909090909,16.652173913043477,35.714285714285715,40.0,0.0,0.0,4.444444444444445,10.23076923076923,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,58.82352941176471,0.0,0.0,0.0,0.0,40.0,47.61904761904761,0.0,0.0,147.77777777777777,0.0,0.0,0.0,0.0
plantain,37.93589743589744,41.685,0.0,23.21454545454546,8.782608695652174,12.5,4.56,0.0,7.666666666666666,35.66666666666667,0.6923076923076923,5.388888888888889,0.0,33.6,0.0,5.416666666666667,3.0769230769230766,5.0125,27.058823529411768,8.75,0.0,0.0,0.0,6.239999999999999,16.904761904761905,3.3636363636363638,0.7272727272727273,22.0,0.0,0.0,16.72340425531915,0.0
plum,0.35897435897435903,0.085,0.0,4.152727272727272,0.0,5.0,1.4,0.0,1.8888888888888888,10.555555555555555,0.46153846153846156,0.9444444444444444,0.0,1.7333333333333332,0.0,2.3333333333333335,1.9999999999999998,2.6062499999999997,1.7058823529411766,1.25,0.0,0.0,0.0,1.28,1.6666666666666667,0.9090909090909092,0.0,6.333333333333334,0.0,0.0,3.3404255319148937,0.34545454545454546
pomegranate,0.0,0.0,0.0,4.3999999999999995,0.6521739130434783,0.0,0.0,0.0,0.0,6.888888888888889,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pork,5.282051282051283,11.75,25.333333333333336,0.4290909090909091,9.217391304347826,0.0,42.4,0.0,0.0,0.0,0.0,7.055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pork chop,11.589743589743588,13.340000000000002,15.333333333333332,2.8436363636363637,18.0,3.571428571428571,36.74,0.0,3.111111111111111,0.3333333333333333,1.153846153846154,4.055555555555555,2.0,2.8666666666666667,0.0,37.333333333333336,12.538461538461537,36.1125,24.176470588235293,14.249999999999998,17.083333333333332,0.0,0.0,13.919999999999998,5.238095238095238,12.181818181818183,73.81818181818181,8.11111111111111,0.0,0.0,6.23404255319149,10.436363636363637
