,Unnamed: 0,title,rating,fat,Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Magnesium,Zinc,Selenium,Copper,Manganese,Molybdenum,Potassium,Choline
10,16795,French Apple Turnovers (Chaussons Aux Pommes),4.375,0.8333333333333334,0.0,0.0,5.2,0.0,11.428571428571429,0.0,0.0,0.0,3.4444444444444446,0.0,1.277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3404255319148937,0.0
11,4960,"Peach, Strawberry, and Banana Bruschetta",5.0,40.98717948717948,33.2,27.33333333333333,59.38545454545454,43.95652173913044,30.0,40.92,0.0,0.0,22.555555555555557,21.46153846153846,15.11111111111111,0.0,0.0,0.0,0.0,23.153846153846157,11.125,0.0,0.0,15.416666666666668,0.0,0.0,0.0,3.095238095238096,5.636363636363637,0.0,0.0,0.0,0.0,3.276595744680851,0.0
12,4928,Creamy Scrambled Eggs with Crispy Potatoes,4.375,51.43589743589744,95.56,35.333333333333336,25.887272727272727,17.17391304347826,16.785714285714285,20.6,0.0,7.111111111111111,0.5555555555555556,12.384615384615389,4.166666666666666,2.5,10.4,0.0,8.916666666666668,10.999999999999998,6.2,5.470588235294118,5.75,11.666666666666668,0.0,0.0,6.16,3.095238095238096,4.0,11.454545454545457,2.0,0.0,0.0,4.659574468085107,9.763636363636364
13,11730,Rhubarb and Strawberry Compote with Fresh Mint,5.0,0.282051282051282,0.235,0.0,68.16363636363637,1.2608695652173911,5.714285714285714,1.6200000000000003,0.0,0.4444444444444444,6.333333333333334,5.615384615384615,1.1111111111111112,0.0,1.6,0.0,1.1666666666666667,2.1538461538461537,1.5125,1.1764705882352942,1.0,0.0,0.0,0.0,1.04,2.619047619047619,0.8181818181818181,2.0,2.0,0.0,0.0,4.957446808510638,1.0
14,16693,"Sausage, Fontina, and Bell Pepper Strata",5.0,84.9948717948718,191.58,72.66666666666666,32.374545454545455,56.69565217391304,25.864285714285717,81.07000000000001,0.0,29.0,115.7777777777778,58.73076923076923,8.533333333333333,3.0,1.8000000000000005,0.0,5.008333333333334,22.52307692307692,4.9125,19.411764705882355,1.5,70.0,0.0,0.0,29.024,5.476190476190476,32.96363636363636,26.36363636363636,9.2,4.343478260869565,0.0,4.829787234042553,2.8000000000000003
15,18205,Almond Pancakes with Sour Cherry Syrup,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,13479,Jalapeño Cheese Grits,4.375,165.5128205128205,389.5,112.0,38.51272727272728,60.52173913043478,6.071428571428571,76.6,0.0,0.0,0.0,4.0,1.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.191489361702128,0.0
17,12553,"Dried Cranberry, Walnut, and Lemon Scones",4.375,137.35897435897436,77.265,5.666666666666666,42.596363636363634,38.38086956521739,53.92857142857142,56.92,0.0,0.3333333333333333,79.33333333333333,21.07692307692308,57.83333333333334,0.0,4.666666666666666,0.0,2.416666666666667,3.0769230769230766,4.356249999999999,3.0,5.0,0.0,0.0,0.0,44.16,63.095238095238095,47.63636363636364,38.36363636363636,253.7777777777778,84.78260869565219,0.0,16.29787234042553,1.4363636363636365
18,2264,Croque Madame Casserole With Ham and Gruyère,4.375,73.42307692307693,174.425,46.333333333333336,22.45090909090909,83.65217391304347,11.428571428571429,93.1,0.0,1.4444444444444444,0.0,10.461538461538463,4.666666666666666,3.5,1.4666666666666666,0.0,35.5,14.692307692307692,37.84375,24.176470588235293,0.25,16.666666666666668,0.0,0.0,22.08,4.761904761904762,16.727272727272727,61.45454545454545,13.77777777777778,0.0,0.0,7.8936170212765955,13.745454545454544
19,10104,Smoked Salmon and Dill Matzoh Brei,4.375,47.66666666666667,86.6,26.0,22.669090909090908,57.17391304347826,17.5,44.18,0.0,0.4444444444444444,3.222222222222222,15.000000000000004,3.9444444444444446,0.0,0.0,14.000000000000002,3.916666666666667,4.384615384615385,0.68125,2.0,0.0,0.0,0.0,4.0,1.28,1.6904761904761905,1.0,0.0,2.888888888888889,2.4347826086956523,0.0,2.382978723404255,0.0
20,13762,Overnight Egg & Cheese Strata,4.375,155.65384615384616,353.00500000000005,134.0,23.01454545454545,227.69565217391303,11.428571428571429,230.1,0.0,30.444444444444443,0.0,54.15384615384615,16.666666666666668,6.5,3.266666666666667,0.0,37.25,30.384615384615383,38.78125,29.058823529411764,1.75,86.66666666666667,0.0,0.0,49.76,8.095238095238095,48.54545454545455,87.81818181818181,16.555555555555557,0.0,0.0,9.25531914893617,16.545454545454543
21,13868,Fruit and Spice Granola,4.375,157.21794871794873,224.985,0.0,79.04363636363637,15.65217391304348,102.5,38.92,0.0,1.7777777777777777,27.77777777777778,70.23076923076923,137.72222222222223,8.5,24.666666666666664,0.0,67.83333333333334,24.07692307692308,22.418750000000003,37.58823529411765,12.5,20.833333333333336,0.0,18.62,33.52,63.57142857142857,66.45454545454547,28.0,194.3333333333333,886.0869565217394,0.0,24.319148936170212,11.90909090909091
22,11534,Sunday Frittata with Frizzled Leeks,4.375,76.47435897435898,160.79000000000002,40.0,31.396363636363635,92.47826086956522,18.214285714285715,72.75999999999999,0.0,39.55555555555556,11.777777777777777,80.23076923076923,14.888888888888888,2.5,12.666666666666666,7.333333333333332,6.833333333333334,29.84615384615384,2.975,18.647058823529413,15.749999999999998,58.333333333333336,0.0,9.0,53.12,15.0,39.36363636363637,64.36363636363636,18.333333333333336,3.0869565217391304,0.0,7.829787234042553,4.4
23,851,Shishito Pepper Potato Hash with Fried Eggs,5.0,51.43589743589744,95.56,35.333333333333336,50.14181818181818,17.17391304347826,135.71428571428572,20.6,0.0,7.111111111111111,23.88888888888889,46.0,164.7222222222222,2.5,10.4,0.0,8.916666666666668,10.999999999999998,6.2,5.470588235294118,5.75,11.666666666666668,0.0,0.0,6.16,3.095238095238096,4.0,11.454545454545457,2.0,0.0,0.0,4.659574468085107,9.763636363636364
